2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration byte -> org.hibernate.type.BasicTypeReference@233abf5a
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@233abf5a
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration binary -> org.hibernate.type.BasicTypeReference@6a65fdca
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@6a65fdca
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration [B -> org.hibernate.type.BasicTypeReference@6a65fdca
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@2d636da4
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@2d636da4
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration Byte[] -> org.hibernate.type.BasicTypeReference@2d636da4
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.BasicTypeReference@2d636da4
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration image -> org.hibernate.type.BasicTypeReference@d16bd3b
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration blob -> org.hibernate.type.BasicTypeReference@7ba003ac
2022-05-03 13:36:41.647 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@7ba003ac
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@3e6e3abf
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@8d66e9b
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration short -> org.hibernate.type.BasicTypeReference@3011f5df
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration short -> org.hibernate.type.BasicTypeReference@3011f5df
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@3011f5df
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration integer -> org.hibernate.type.BasicTypeReference@4b572d12
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration int -> org.hibernate.type.BasicTypeReference@4b572d12
2022-05-03 13:36:41.648 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@4b572d12
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration long -> org.hibernate.type.BasicTypeReference@4234d05
